APLICACAO;DISTRIBUICAO;TEMPOEXECUCAO;VALOR;CICLO;NUMEROSDERESTART
JXLSREADER;PSEUD;875;3.59;18;104
JXLSREADER;PSEUD;874;3.60;19;104
JXLSREADER;PSEUD;890;3.60;20;102
JXLSREADER;PSEUD;874;3.60;21;101
JXLSREADER;PSEUD;890;3.60;22;102
JXLSREADER;PSEUD;874;3.60;23;105
JXLSREADER;PSEUD;890;3.60;24;106
JXLSREADER;PSEUD;889;3.60;25;104
JXLSREADER;PSEUD;875;3.60;26;105
JXLSREADER;PSEUD;889;3.60;27;102
JXLSREADER;PSEUD;874;3.60;28;102
JXLSREADER;PSEUD;890;3.59;29;108
JXLSREADER;SOBOL;873;3.60;0;107
XMLDOM;PSEUD;210759;10.92;0;26
XMLDOM;PSEUD;210773;10.92;1;26
XMLDOM;PSEUD;212179;10.92;2;26
XMLDOM;PSEUD;211990;10.91;3;26
XMLDOM;PSEUD;211927;10.91;4;27
XMLDOM;PSEUD;211584;10.92;5;27
XMLDOM;PSEUD;212162;10.92;6;26
XMLDOM;PSEUD;211038;10.92;7;26
XMLDOM;PSEUD;212161;10.92;8;27
XMLDOM;PSEUD;211584;10.92;9;26
XMLDOM;PSEUD;211007;10.92;10;27
XMLDOM;PSEUD;212099;10.92;11;27
XMLDOM;PSEUD;211631;10.91;12;27
XMLDOM;PSEUD;211740;10.92;13;27
XMLDOM;PSEUD;210664;10.89;14;26
XMLDOM;PSEUD;211756;10.92;15;26
XMLDOM;PSEUD;211116;10.92;16;26
XMLDOM;PSEUD;212317;10.92;17;27
XMLDOM;PSEUD;211023;10.91;18;27
XMLDOM;PSEUD;212302;10.92;19;26
XMLDOM;PSEUD;210804;10.92;20;27
XMLDOM;PSEUD;211834;10.92;21;26
XMLDOM;PSEUD;211865;10.92;22;26
XMLDOM;PSEUD;211194;10.91;23;26
XMLDOM;PSEUD;211287;10.91;24;26
XMLDOM;PSEUD;210836;10.90;25;27
XMLDOM;PSEUD;211789;10.92;26;26
XMLDOM;PSEUD;211693;10.92;27;26
XMLDOM;PSEUD;211179;10.85;28;27
XMLDOM;PSEUD;211506;10.92;29;26
XMLDOM;SOBOL;210180;10.26;0;19
TINYTIM;PSEUD;364175;12.42;0;17
TINYTIM;PSEUD;362561;12.36;1;17
TINYTIM;PSEUD;364059;12.36;2;17
TINYTIM;PSEUD;364027;12.34;3;17
TINYTIM;PSEUD;363201;12.40;4;17
TINYTIM;PSEUD;363794;12.40;5;17
TINYTIM;PSEUD;364651;12.40;6;17
TINYTIM;PSEUD;364731;12.31;7;17
TINYTIM;PSEUD;364761;12.39;8;17
TINYTIM;PSEUD;364012;12.37;9;18
TINYTIM;PSEUD;363950;12.32;10;17
TINYTIM;PSEUD;364230;12.40;11;17
TINYTIM;PSEUD;364152;12.34;12;17
TINYTIM;PSEUD;364012;12.32;13;17
TINYTIM;PSEUD;363404;12.38;14;17
TINYTIM;PSEUD;364574;12.38;15;17
TINYTIM;PSEUD;364076;12.38;16;17
TINYTIM;PSEUD;364355;12.40;17;17
TINYTIM;PSEUD;364200;12.38;18;18
TINYTIM;PSEUD;364043;12.38;19;17
TINYTIM;PSEUD;364527;12.41;20;17
TINYTIM;PSEUD;364152;12.43;21;17
TINYTIM;PSEUD;364153;12.43;22;17
TINYTIM;PSEUD;364948;12.35;23;17
TINYTIM;PSEUD;364636;12.36;24;18
TINYTIM;PSEUD;364511;12.32;25;17
TINYTIM;PSEUD;363996;12.44;26;17
TINYTIM;PSEUD;363903;12.42;27;17
TINYTIM;PSEUD;363997;12.41;28;17
TINYTIM;PSEUD;364355;12.38;29;17
TINYTIM;SOBOL;356664;11.67;0;12
JUNIT;PSEUD;113523;11.09;0;29
JUNIT;PSEUD;112914;11.09;1;29
JUNIT;PSEUD;112742;11.09;2;29
JUNIT;PSEUD;112727;11.09;3;29
JUNIT;PSEUD;113257;11.09;4;29
JUNIT;PSEUD;112837;11.09;5;29
JUNIT;PSEUD;112758;11.09;6;29
JUNIT;PSEUD;112961;11.09;7;28
JUNIT;PSEUD;112912;11.09;8;30
JUNIT;PSEUD;113086;11.09;9;29
JUNIT;PSEUD;113186;11.09;10;29
JUNIT;PSEUD;113242;11.09;11;29
JUNIT;PSEUD;112586;11.09;12;30
JUNIT;PSEUD;112898;11.09;13;29
JUNIT;PSEUD;112992;11.09;14;29
JUNIT;PSEUD;112680;11.09;15;29
JUNIT;PSEUD;112870;11.09;16;28
JUNIT;PSEUD;112992;11.09;17;29
JUNIT;PSEUD;112764;11.09;18;28
JUNIT;PSEUD;112960;11.09;19;29
JUNIT;PSEUD;113180;11.09;20;28
JUNIT;PSEUD;112851;11.09;21;28
JUNIT;PSEUD;113179;11.09;22;29
JUNIT;PSEUD;113258;11.09;23;30
JUNIT;PSEUD;112898;11.09;24;28
JUNIT;PSEUD;112555;11.09;25;29
JUNIT;PSEUD;113195;11.09;26;29
JUNIT;PSEUD;112648;11.09;27;28
JUNIT;PSEUD;112992;11.09;28;28
JUNIT;PSEUD;112868;11.09;29;29
JUNIT;SOBOL;110620;10.33;0;20
SERVLET;PSEUD;18081;9.55;0;45
SERVLET;PSEUD;18004;9.48;1;44
SERVLET;PSEUD;18003;9.52;2;44
SERVLET;PSEUD;18050;9.52;3;45
SERVLET;PSEUD;18050;9.55;4;45
SERVLET;PSEUD;18004;9.55;5;45
SERVLET;PSEUD;18019;9.49;6;46
SERVLET;PSEUD;18050;9.52;7;46
SERVLET;PSEUD;18066;9.52;8;45
SERVLET;PSEUD;18035;9.54;9;45
SERVLET;PSEUD;18067;9.52;10;45
SERVLET;PSEUD;18051;9.49;11;46
SERVLET;PSEUD;18050;9.55;12;45
SERVLET;PSEUD;18021;9.55;13;45
SERVLET;PSEUD;18004;9.49;14;48
SERVLET;PSEUD;18034;9.52;15;44
SERVLET;PSEUD;18019;9.52;16;46
SERVLET;PSEUD;18066;9.52;17;45
SERVLET;PSEUD;18035;9.48;18;45
SERVLET;PSEUD;18050;9.54;19;45
SERVLET;PSEUD;18097;9.54;20;45
SERVLET;PSEUD;18035;9.52;21;45
SERVLET;PSEUD;18019;9.52;22;46
SERVLET;PSEUD;18050;9.55;23;45
SERVLET;PSEUD;18019;9.48;24;44
SERVLET;PSEUD;18019;9.52;25;45
SERVLET;PSEUD;18080;9.48;26;45
SERVLET;PSEUD;18035;9.54;27;45
SERVLET;PSEUD;18050;9.55;28;44
SERVLET;PSEUD;18003;9.52;29;44
SERVLET;SOBOL;17629;9.47;0;33
JPASSWORD;PSEUD;99982;10.30;0;23
JPASSWORD;PSEUD;99716;10.33;1;22
JPASSWORD;PSEUD;99560;10.26;2;22
JPASSWORD;PSEUD;99779;10.24;3;22
JPASSWORD;PSEUD;99888;10.30;4;22
JPASSWORD;PSEUD;99779;10.36;5;22
JPASSWORD;PSEUD;99872;10.32;6;23
JPASSWORD;PSEUD;99873;10.31;7;22
JPASSWORD;PSEUD;99888;10.26;8;23
JPASSWORD;PSEUD;99903;10.28;9;23
JPASSWORD;PSEUD;99763;10.33;10;22
JPASSWORD;PSEUD;99795;10.26;11;23
JPASSWORD;PSEUD;99732;10.36;12;22
JPASSWORD;PSEUD;99700;10.27;13;24
JPASSWORD;PSEUD;100107;10.27;14;23
JPASSWORD;PSEUD;99981;10.28;15;23
JPASSWORD;PSEUD;99920;10.24;16;23
JPASSWORD;PSEUD;99747;10.33;17;23
JPASSWORD;PSEUD;99717;10.30;18;22
JPASSWORD;PSEUD;99591;10.31;19;22
JPASSWORD;PSEUD;99685;10.24;20;23
JPASSWORD;PSEUD;99841;10.27;21;22
JPASSWORD;PSEUD;99732;10.26;22;23
JPASSWORD;PSEUD;99810;10.19;23;22
JPASSWORD;PSEUD;99576;10.31;24;22
